image,cnfa.spatial.enclosure_index,cnfa.spatial.prospect,spatial.isovist_openness_plan,cnfa.spatial.prospect_to_refuge_ratio,acoustic_absorption_proxy,glare-risk,cnfa.light.warm_vs_cool_ratio,cnfa.light.brightness_variance,cnfa.fluency.processing_load_proxy,cnfa.fluency.color_palette_entropy,cnfa.fractal_dimension,cnfa.cognitive.landmark_salience,cnfa.fluency.symmetry_score_horizontal
1_f_pic948_David_Zidlicky,0.909,8.35,1.277,0.536,0.183,0.346,0.955,0.226,0.123,0.952,1.477,0.388,0.343
50_day_street_offices_norwalk_1200x1165_,0.92,5.976,1.596,0.574,0.248,0.425,0.895,0.211,0.195,0.957,1.575,0.306,0.137
50_day_street_offices_norwalk_3_1200x113,0.762,4.438,0.982,0.547,0.213,0.252,0.906,0.225,0.179,0.986,1.598,0.165,0.149
BalancedCare_Render_Corridor2_wpeople1_9,1.0,39.983,8.616,0.781,0.118,0.223,0.933,0.145,0.084,0.864,1.301,0.388,0.677
Corridors_of_Classroom_Complex,0.911,3.482,0.908,0.537,0.157,0.369,0.997,0.2,0.118,0.924,1.33,0.299,0.463
Industrial_open_concept_office_project_b,1.0,12.096,2.054,0.563,0.21,0.323,0.647,0.247,0.153,0.986,1.472,0.49,0.262
Ludwig_Mies_van_der_Rohe_Farnsworth_Hous,0.784,8.732,1.832,0.62,0.151,0.288,1.0,0.192,0.137,0.892,1.603,0.619,0.362
Office_Grade_1_1536x838,0.917,18.674,5.104,0.728,0.154,0.303,0.982,0.229,0.174,0.976,1.651,0.261,0.185
Seesaw_Studio_Office_Fitout_Bowen_Interi,0.92,14.363,4.039,0.708,0.095,0.423,0.943,0.288,0.142,0.977,1.413,0.301,0.324
UPCycle_Gensler_5_889x592_1,0.676,5.808,1.136,0.579,0.133,0.286,0.724,0.199,0.225,0.969,1.609,0.221,0.123
bede_offices_sofia_6_1200x800_compact,0.84,11.054,2.715,0.648,0.253,0.305,0.994,0.244,0.198,0.982,1.63,0.425,0.114
heb_digital_and_favor_delivery_eastside_,1.0,6.886,1.885,0.59,0.167,0.297,0.894,0.203,0.192,0.974,1.58,0.448,0.177
image_asset,0.942,10.774,2.332,0.588,0.15,0.482,0.986,0.217,0.137,0.907,1.536,0.705,0.394
korridor,1.0,8.109,1.04,0.527,0.151,0.225,0.993,0.128,0.114,0.947,1.414,0.26,0.38
mrwFhJGYxuweao836aMC9i,0.747,3.667,0.758,0.49,0.158,0.237,0.997,0.218,0.17,0.978,1.559,0.326,0.236
originalfile1769166756859_4785,1.0,6.133,0.913,0.462,0.264,0.273,0.991,0.209,0.14,0.942,1.571,0.765,0.185
