filename,category,pair_id,pair_expected_better,notes
interiors/industrial_open_office.png,interiors,,unknown,Canonical PNG converted on Mac from existing JPEG; visually busy open office smoke sample.
interiors/classroom_complex_corridor.png,interiors,,unknown,Canonical PNG converted on Mac from existing JPEG; classroom corridor smoke sample.
interiors/office_grade_1.png,interiors,,unknown,Canonical PNG converted on Mac from existing JPEG; office interior smoke sample.
interiors/balancedcare_corridor.png,interiors,,unknown,Canonical PNG converted on Mac from existing WebP; rendered care-facility corridor with people.
nature_glass/farnsworth_foliage_through_glazing.png,nature_glass,,unknown,Canonical PNG converted on Mac from existing JPEG; DT-1 positive with extensive foliage visible through glazing.
pairs/gab_b22cc0a7_A_base.png,pairs,pair_06932296,A,A/B A of pair_06932296: controlled photometric A/B from interiors/office_grade_1.png; manip=daylight (brightness x0.5 (dimmer)); targets C10 daylight_proximity / C22 circadian_contrast. | A/B A of pair_06932296: controlled photometric A/B from interiors/office_grade_1.png; manip=daylight (brightness x0.5 (dimmer)); targets C10 daylight_proximity / C22 circadian_contrast. | A/B A of pair_06932296: controlled photometric A/B from interiors/office_grade_1.png; manip=daylight (brightness x0.5 (dimmer)); targets C10 daylight_proximity / C22 circadian_contrast.
pairs/gab_b22cc0a7_B_daylight.png,pairs,pair_06932296,A,A/B B of pair_06932296: controlled photometric A/B from interiors/office_grade_1.png; manip=daylight (brightness x0.5 (dimmer)); targets C10 daylight_proximity / C22 circadian_contrast. | A/B B of pair_06932296: controlled photometric A/B from interiors/office_grade_1.png; manip=daylight (brightness x0.5 (dimmer)); targets C10 daylight_proximity / C22 circadian_contrast. | A/B B of pair_06932296: controlled photometric A/B from interiors/office_grade_1.png; manip=daylight (brightness x0.5 (dimmer)); targets C10 daylight_proximity / C22 circadian_contrast.
pairs/gab_61323771_A_base.png,pairs,pair_2b92cceb,A,A/B A of pair_2b92cceb: controlled photometric A/B from interiors/balancedcare_corridor.png; manip=daylight (brightness x0.5 (dimmer)); targets C10 daylight_proximity / C22 circadian_contrast. | A/B A of pair_2b92cceb: controlled photometric A/B from interiors/balancedcare_corridor.png; manip=daylight (brightness x0.5 (dimmer)); targets C10 daylight_proximity / C22 circadian_contrast. | A/B A of pair_2b92cceb: controlled photometric A/B from interiors/balancedcare_corridor.png; manip=daylight (brightness x0.5 (dimmer)); targets C10 daylight_proximity / C22 circadian_contrast. | A/B A of pair_2b92cceb: controlled photometric A/B from interiors/balancedcare_corridor.png; manip=daylight (brightness x0.5 (dimmer)); targets C10 daylight_proximity / C22 circadian_contrast.
pairs/gab_61323771_B_daylight.png,pairs,pair_2b92cceb,A,A/B B of pair_2b92cceb: controlled photometric A/B from interiors/balancedcare_corridor.png; manip=daylight (brightness x0.5 (dimmer)); targets C10 daylight_proximity / C22 circadian_contrast. | A/B B of pair_2b92cceb: controlled photometric A/B from interiors/balancedcare_corridor.png; manip=daylight (brightness x0.5 (dimmer)); targets C10 daylight_proximity / C22 circadian_contrast. | A/B B of pair_2b92cceb: controlled photometric A/B from interiors/balancedcare_corridor.png; manip=daylight (brightness x0.5 (dimmer)); targets C10 daylight_proximity / C22 circadian_contrast. | A/B B of pair_2b92cceb: controlled photometric A/B from interiors/balancedcare_corridor.png; manip=daylight (brightness x0.5 (dimmer)); targets C10 daylight_proximity / C22 circadian_contrast.
pairs/gab_75b0019c_A_base.png,pairs,pair_fa1a78fe,A,A/B A of pair_fa1a78fe: controlled photometric A/B from interiors/classroom_complex_corridor.png; manip=glare (added specular hotspot (upper-right)); targets glare-risk. | A/B A of pair_fa1a78fe: controlled photometric A/B from interiors/classroom_complex_corridor.png; manip=glare (added specular hotspot (upper-right)); targets glare-risk. | A/B A of pair_fa1a78fe: controlled photometric A/B from interiors/classroom_complex_corridor.png; manip=glare (added specular hotspot (upper-right)); targets glare-risk. | A/B A of pair_fa1a78fe: controlled photometric A/B from interiors/classroom_complex_corridor.png; manip=glare (added specular hotspot (upper-right)); targets glare-risk.
pairs/gab_75b0019c_B_glare.png,pairs,pair_fa1a78fe,A,A/B B of pair_fa1a78fe: controlled photometric A/B from interiors/classroom_complex_corridor.png; manip=glare (added specular hotspot (upper-right)); targets glare-risk. | A/B B of pair_fa1a78fe: controlled photometric A/B from interiors/classroom_complex_corridor.png; manip=glare (added specular hotspot (upper-right)); targets glare-risk. | A/B B of pair_fa1a78fe: controlled photometric A/B from interiors/classroom_complex_corridor.png; manip=glare (added specular hotspot (upper-right)); targets glare-risk. | A/B B of pair_fa1a78fe: controlled photometric A/B from interiors/classroom_complex_corridor.png; manip=glare (added specular hotspot (upper-right)); targets glare-risk.
pairs/gab_ed38ad22_A_base.png,pairs,pair_6ac01322,A,"A/B A of pair_6ac01322: controlled photometric A/B from interiors/industrial_open_office.png; manip=warmth (cool colour cast (R x0.78, B x1.25)); targets evening_ambience / temperature_mismatch. | A/B A of pair_6ac01322: controlled photometric A/B from interiors/industrial_open_office.png; manip=warmth (cool colour cast (R x0.78, B x1.25)); targets evening_ambience / temperature_mismatch. | A/B A of pair_6ac01322: controlled photometric A/B from interiors/industrial_open_office.png; manip=warmth (cool colour cast (R x0.78, B x1.25)); targets evening_ambience / temperature_mismatch. | A/B A of pair_6ac01322: controlled photometric A/B from interiors/industrial_open_office.png; manip=warmth (cool colour cast (R x0.78, B x1.25)); targets evening_ambience / temperature_mismatch."
pairs/gab_ed38ad22_B_warmth.png,pairs,pair_6ac01322,A,"A/B B of pair_6ac01322: controlled photometric A/B from interiors/industrial_open_office.png; manip=warmth (cool colour cast (R x0.78, B x1.25)); targets evening_ambience / temperature_mismatch. | A/B B of pair_6ac01322: controlled photometric A/B from interiors/industrial_open_office.png; manip=warmth (cool colour cast (R x0.78, B x1.25)); targets evening_ambience / temperature_mismatch. | A/B B of pair_6ac01322: controlled photometric A/B from interiors/industrial_open_office.png; manip=warmth (cool colour cast (R x0.78, B x1.25)); targets evening_ambience / temperature_mismatch. | A/B B of pair_6ac01322: controlled photometric A/B from interiors/industrial_open_office.png; manip=warmth (cool colour cast (R x0.78, B x1.25)); targets evening_ambience / temperature_mismatch."
